Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
32,"nt.listdir",1,0.00,0.00,0.02,0.02,"nt",
32,"str.format",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"<frozen importlib.<setcomp>",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
33,"str.lower",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.partition",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.startswith",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"set.add",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.lower",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"<frozen importlib._path_isfile",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
32,"<frozen importlib._path_is_mode_type",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
33,"<frozen importlib._path_stat",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
34,"nt.stat",1,0.00,0.00,0.01,0.01,"nt",
31,"<frozen importlib._path_join",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
32,"<frozen importlib.<listcomp>",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
33,"str.rstrip",6,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.endswith",9,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.startswith",6,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"str.join",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"len",6,0.00,0.00,0.00,0.00,"builtins",
32,"str.rstrip",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"list.append",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"<frozen importlib._path_stat",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
32,"nt.stat",1,0.00,0.00,0.01,0.01,"nt",
31,"<frozen importlib.FileFinder._get_spec",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
32,"<frozen importlib.spec_from_file_location",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
33,"<frozen importlib.ModuleSpec.__init__",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
33,"nt.fspath",1,0.00,0.00,0.00,0.00,"nt",
32,"<frozen importlib.FileLoader.__init__",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
31,"<frozen importlib._verbose_message",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
31,"<frozen importlib._relax_case",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
31,"str.rpartition",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
30,"hasattr",1,0.00,0.00,0.00,0.00,"builtins",
30,"isinstance",1,0.00,0.00,0.00,0.00,"builtins",
28,"<frozen importlib._ImportLockContext.__exit__",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
29,"_imp.release_lock",3,0.00,0.00,0.00,0.00,"_imp",
28,"<frozen importlib._ImportLockContext.__enter__",3,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
29,"_imp.acquire_lock",3,0.00,0.00,0.00,0.00,"_imp",
28,"<frozen importlib.find_spec",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
29,"_imp.is_frozen",1,0.00,0.00,0.00,0.00,"_imp",
28,"<frozen importlib.find_spec",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
27,"setattr",1,0.00,0.00,0.00,0.00,"builtins",
27,"str.rpartition",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
26,"<frozen importlib._ModuleLockManager.__enter__",1,0.00,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
27,"<frozen importlib._get_module_lock",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
28,"<frozen importlib._ModuleLock.__init__",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
29,"_thread.allocate_lock",2,0.00,0.00,0.00,0.00,"_thread",
28,"_imp.acquire_lock",1,0.00,0.00,0.00,0.00,"_imp",
28,"_imp.release_lock",1,0.00,0.00,0.00,0.00,"_imp",
27,"<frozen importlib._ModuleLock.acquire",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
28,"_thread.lock.__exit__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
28,"_thread.get_ident",1,0.00,0.00,0.00,0.00,"_thread",
26,"<frozen importlib._ModuleLockManager.__exit__",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
27,"<frozen importlib._ModuleLock.release",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
28,"_thread.lock.__exit__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
28,"_thread.get_ident",1,0.00,0.00,0.00,0.00,"_thread",
26,"<frozen importlib.cb",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
27,"_imp.acquire_lock",1,0.00,0.00,0.00,0.00,"_imp",
27,"dict.get",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
27,"_imp.release_lock",1,0.00,0.00,0.00,0.00,"_imp",
26,"<frozen importlib._ModuleLockManager.__init__",1,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
26,"dict.get",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
25,"re.compile",1,0.01,0.00,0.17,0.00,"re.py",
26,"re._compile",1,0.01,0.00,0.17,0.01,"re.py",
27,"sre_compile.compile",1,0.01,0.00,0.16,0.00,"sre_compile.py",
28,"sre_parse.parse",1,0.01,0.00,0.09,0.00,"sre_parse.py",
29,"sre_parse._parse_sub",1,0.01,0.00,0.09,0.00,"sre_parse.py",
30,"sre_parse._parse",1,0.01,0.00,0.08,0.00,"sre_parse.py",
31,"sre_parse._parse_sub",1,0.00,0.00,0.06,0.00,"sre_parse.py",
32,"sre_parse._parse",3,0.00,0.00,0.02,0.01,"sre_parse.py",
33,"sre_parse.SubPattern.__getitem__",33,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"isinstance",33,0.00,0.00,0.00,0.00,"builtins",
34,"sre_parse.SubPattern.__init__",6,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"sre_parse.Tokenizer.get",40,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"sre_parse.__next",40,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"sre_parse._uniq",4,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"type.fromkeys",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"sre_parse.Tokenizer.match",26,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"sre_parse.__next",7,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"sre_parse.SubPattern.__len__",12,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"len",12,0.00,0.00,0.00,0.00,"builtins",
33,"sre_parse.SubPattern.append",9,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"list.append",9,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"sre_parse.Tokenizer.tell",10,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"len",10,0.00,0.00,0.00,0.00,"builtins",
33,"sre_parse._class_escape",3,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"dict.get",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"ord",20,0.00,0.00,0.00,0.00,"builtins",
33,"sre_parse.SubPattern.__setitem__",6,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"len",7,0.00,0.00,0.00,0.00,"builtins",
34,"sre_parse.SubPattern.__len__",3,0.00,0.00,0.00,0.00,"sre_parse.py",
