Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","__build_class__","bottle.AsyncioServerAdapter",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.AutoServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.BaseRequest",1,0.00,0.00,0.03,0.01,"bottle.py",
"Callee","__build_class__","bottle.BaseResponse",1,0.00,0.00,0.01,0.01,"bottle.py",
"Callee","__build_class__","bottle.BaseTemplate",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.BjoernServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.Bottle",1,0.00,0.00,0.01,0.01,"bottle.py",
"Callee","__build_class__","bottle.BottleException",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.cached_property",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.CGIServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.CheetahTemplate",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.CherootServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.CherryPyServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.ConfigDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.DictProperty",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.DieselServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.EventletServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.FapwsServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.FileCheckerThread",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.FileUpload",1,0.00,0.00,0.01,0.00,"bottle.py",
"Callee","__build_class__","bottle.FixedHandler",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.FlupFCGIServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.FormsDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.GeventServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.GunicornServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.HeaderDict",1,0.00,0.00,0.01,0.01,"bottle.py",
"Callee","__build_class__","bottle.HeaderProperty",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.HTTPError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.HTTPResponse",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.Jinja2Template",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.JSONPlugin",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.lazy_attribute",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.LocalRequest",1,0.00,0.00,0.01,0.00,"bottle.py",
"Callee","__build_class__","bottle.LocalResponse",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.MakoTemplate",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.MeinheldServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.MultiDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.MultipartError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.PasteServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.PluginError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.ResourceManager",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.Route",1,0.00,0.00,0.01,0.00,"bottle.py",
"Callee","__build_class__","bottle.RouteBuildError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.RouteError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.Router",1,0.02,0.00,0.31,0.00,"bottle.py",
"Callee","__build_class__","bottle.RouteReset",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.RouterUnknownModeError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.RouteSyntaxError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.ServerAdapter",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.SimpleTemplate",1,0.00,0.00,0.00,0.00,"bottle.py",
