Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"<frozen importlib.<genexpr>",534,0.01,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._validate_timestamp_pyc",89,0.01,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"ast (module)",1,0.06,0.00,0.88,0.05,"ast.py",
"sre_parse._uniq",93,0.01,0.00,0.00,0.00,"sre_parse.py",
"_imp.acquire_lock",576,0.00,0.00,0.00,0.00,"_imp",
"enum._is_dunder",321,0.00,0.00,0.00,0.00,"enum.py",
"locale (module)",1,0.02,0.00,0.30,0.05,"locale.py",
"<frozen importlib._ModuleLock.__init__",123,0.02,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"_imp.release_lock",576,0.00,0.00,0.00,0.00,"_imp",
"sre_compile._get_literal_prefix",75,0.00,0.00,0.00,0.00,"sre_compile.py",
"enum._find_data_type",52,0.00,0.00,0.00,0.00,"enum.py",
"<frozen importlib._get_cached",96,0.06,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"sre_compile._compile_charset",132,0.01,0.00,0.00,0.00,"sre_compile.py",
"enum._is_sunder",321,0.00,0.00,0.00,0.00,"enum.py",
"enum.__call__",134,0.08,0.00,0.01,0.00,"enum.py",
"sre_parse.Tokenizer.tell",491,0.00,0.00,0.00,0.00,"sre_parse.py",
"socketserver.BaseServer.serve_forever",1,85.86,0.00,"1,219.38",0.05,"socketserver.py",
"opcode.<listcomp>",1,0.00,0.00,0.05,0.05,"opcode.py",
"<frozen importlib._ModuleLockManager.__enter__",123,0.05,0.00,0.01,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._new_module",89,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.cached",185,0.06,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
